,feature,label
390,[0.2160856  0.73758638 0.30969589 3.41339906],1
391,[0.25528306 0.6687991  0.52773745 2.6198335 ],1
392,[0.25006919 1.41248979 0.39427767 5.64839584],1
393,[0.19565217 0.62701322 0.46088341 3.20473426],1
394,[0.26932074 0.81803335 0.40852346 3.03739454],1
395,[0.34234876 1.27701574 0.63585108 3.73016024],0
396,[0.29990809 1.4658468  0.53573725 4.88765333],0
397,[0.23537558 1.32937637 0.8625317  5.64789419],0
398,[0.32433041 1.41209062 0.67379959 4.35386444],0
399,[0.34234876 1.29337853 0.63585108 3.77795592],0
400,[0.28679321 1.32468461 0.53164187 4.61895397],0
401,[0.34025485 1.23079311 0.64166597 3.61726841],1
402,[0.34642706 1.05641946 0.70251642 3.04947151],0
403,[0.31622777 1.34833517 0.53847385 4.26381015],0
404,[0.34025485 1.32937637 0.64166597 3.90700199],0
405,[0.33287134 1.36026166 0.76943214 4.08644877],0
406,[0.25962912 1.32468461 0.49673883 5.10221897],1
407,[0.24840131 1.         0.52042163 4.02574366],0
408,[0.15821651 0.859583   0.46606458 5.43295385],1
409,[0.24840131 1.         0.38824295 4.02574366],0
410,[0.19921452 0.98334906 0.41266993 4.93613138],0
411,[0.29424119 0.96993993 0.54364216 3.29641116],0
412,[0.2860732  0.90761524 0.48744167 3.17266781],0
413,[0.21331194 1.05788352 0.47230207 4.95932644],1
414,[0.26663027 0.92090721 0.5886271  3.45387343],0
415,[0.2860732  0.91708748 0.48600669 3.20577905],0
416,[0.20930233 1.03653283 0.46040372 4.95232351],0
417,[0.2195122  1.         0.3426965  4.55555556],1
418,[0.24918047 1.15441473 0.50861425 4.63284593],0
419,[0.37467057 1.16515592 0.65958313 3.10981441],0
420,[0.25       1.16515592 0.45620485 4.66062369],0
421,[0.1860521  1.07760312 0.63822755 5.79194275],0
422,[0.29702999 1.15088819 0.55084743 3.87465323],1
423,[0.3245364  1.15663817 0.61457015 3.56397056],0
424,[0.29411765 1.15363281 0.61087137 3.92235156],0
425,[0.29411765 1.12151514 0.53136959 3.81315149],0
426,[0.3125     1.         0.60696918 3.2       ],0
427,[0.29210312 1.16599775 0.52581745 3.99173331],0
428,[0.3245364  1.07760312 0.72327901 3.32043841],0
429,[0.2037037  1.12626001 0.45281613 5.52891279],0
430,[0.19565027 1.10390106 0.46784599 5.64221602],0
431,[0.28122253 1.1253689  0.49421444 4.00170249],1
